Season,Horario,Sitio,B_µg/m3,T_µg/m3,E_µg/m3,X_ µg/m3,B_mg/m3,T_mg/m3,E_mg/m3,X_mg/m3,E_adult_mg/kg,E_niños_mg/kg,LTCR_Adult,LTCR_Niños,HQ_B,HQ_T,HQ_E,HQ_X,Temp_c,Presión_HPA,Vel_Km/h,Dir_degree,Humedad_%
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SITIO,HORARIO,Adultos,,,,,,,,,
,,,,,,,,,,,,INAH,B1,4.90E-06,,,,,,,,,
,,,,,,,,,,,,,B2,1.92E-06,,,,,,,,,
,,,,,,,,,,,,,B3,1.79E-06,,,,,,,,,
,,,,,,,,,,,,TEC,B1,5.60E-06,,,,,,,,,
,,,,,,,,,,,,,B2,3.00E-06,,,,,,,,,
,,,,,,,,,,,,,B3,2.39E-06,,,,,,,,,
,,,,,,,,,,,,MIN,B1,3.08E-05,,,,,,,,,
,,,,,,,,,,,,,B2,3.31E-05,,,,,,,,,
,,,,,,,,,,,,,B3,3.20E-05,,,,,,,,,
,,,,,,,,,,,,CUA,B1,3.59E-05,,,,,,,,,
,,,,,,,,,,,,,B2,3.37E-05,,,,,,,,,
,,,,,,,,,,,,,B3,3.12E-05,,,,,,,,,
,,,,,,,,,,,,IMP,B1,4.79E-05,,,,,,,,,
,,,,,,,,,,,,,B2,4.13E-05,,,,,,,,,
,,,,,,,,,,,,,B3,4.03E-05,,,,,,,,,
